"","X","bug_status","resolution","bug_id","creation_ts","reporter","reporter_org","reporter_group","bug_severity","votes","assigned_to","assigned_to_org","assigned_to_group","delta_ts","short_desc","priority","qa_contact","everconfirmed","component_id","outcome","logical_outcome"
"14",648,"NEW","",595583,"2010-09-11 20:00:17",250232,"senecac.on.ca","college","enhancement",2,1,NA,NA,"2011-03-25 02:43:54","Add a method for viewing/managing sound in Panorama","--",NA,TRUE,1078,"pending",FALSE
"15",649,"NEW","",650561,"2011-04-16 16:08:28",250232,"senecac.on.ca","college","normal",0,1,NA,NA,"2012-07-27 06:41:43","Twitter constantly errors out in Firefox: ""Sorry! We did something wrong. Try sending your tweet again in a minute""","--",NA,TRUE,279,"pending",FALSE
"16",650,"NEW","",649329,"2011-04-12 07:08:50",412757,"is.ca","other","major",1,1,NA,NA,"2011-05-05 15:08:54","mailto: configuration of new url","--",NA,TRUE,279,"pending",FALSE
"17",651,"NEW","",623114,"2011-01-04 18:57:19",122472,"page.ca","other","normal",0,1,NA,NA,"2011-01-04 18:57:19","Install fails poorly when other user on same machine still running old Firefox","--",NA,TRUE,360,"pending",FALSE
"18",652,"NEW","",626248,"2011-01-16 12:33:20",122472,"page.ca","other","normal",2,1,NA,NA,"2012-09-08 09:59:27","Firefox audio should be able to play via AirPlay (formerly AirTunes)","--",NA,TRUE,279,"pending",FALSE
"19",653,"NEW","",627197,"2011-01-19 14:27:53",122472,"page.ca","other","normal",4,1,NA,NA,"2011-04-04 13:22:08","Search bar made nearly useless by search suggestions when placed in the add-on toolbar","--",NA,TRUE,275,"pending",FALSE
"20",654,"NEW","",639160,"2011-03-05 07:40:03",122472,"page.ca","other","normal",0,1,NA,NA,"2011-03-18 06:29:03","Firefox playback for watch.ctv.ca significantly worse than Safari","--",NA,TRUE,279,"pending",FALSE
"21",655,"NEW","",639800,"2011-03-08 05:26:51",122472,"page.ca","other","enhancement",0,1,NA,NA,"2012-12-05 03:50:33","Web Console should pretty-print stacks","--",NA,TRUE,1334,"pending",FALSE
"22",656,"NEW","",696385,"2011-10-21 08:27:58",122472,"page.ca","other","enhancement",0,1,NA,NA,"2012-12-05 04:12:41","Web console UX - hyperlinks","P3",NA,TRUE,1334,"pending",FALSE
"23",657,"NEW","",747522,"2012-04-20 13:40:17",122472,"page.ca","other","normal",0,1,NA,NA,"2012-04-23 16:15:22","Bad first-time-user UX due to poor keyboard selection in location bar","--",NA,TRUE,715,"pending",FALSE
"24",658,"NEW","",778285,"2012-07-27 13:42:11",122472,"page.ca","other","normal",1,1,NA,NA,"2012-08-30 04:13:49","Failure to free compartments for closed tabs causes horrible performance near OOM","--",NA,TRUE,279,"pending",FALSE
"25",659,"NEW","",251588,"2004-07-15 10:03:18",94,"drew.ca","other","trivial",0,1,NA,NA,"2005-08-20 03:43:47","Status bar icons shouldn't resize their areas when they appear","--",NA,TRUE,275,"pending",FALSE
"26",660,"NEW","",304978,"2005-08-17 08:52:45",94,"drew.ca","other","normal",1,1,NA,NA,"2011-04-01 17:08:15","multiple windows with multiple tabs on update = can't close","--",NA,TRUE,279,"pending",FALSE
"27",661,"NEW","",501563,"2009-06-30 19:57:23",94,"drew.ca","other","normal",5,261603,NA,NA,"2012-07-19 15:50:12","meta: Better startup measurements","--",NA,TRUE,279,"pending",FALSE
"28",662,"NEW","",540121,"2010-01-15 19:22:03",94,"drew.ca","other","normal",0,1,NA,NA,"2010-06-28 15:08:39","scroll to top when line wrapping or newline inserted in textarea with form helper closed","--",199710,TRUE,715,"pending",FALSE
"29",663,"NEW","",561759,"2010-04-26 08:11:42",94,"drew.ca","other","normal",0,1,NA,NA,"2010-07-22 16:59:39","don't make hardcoded lists of protocols; use protocol handler flags","--",NA,TRUE,385,"pending",FALSE
"30",664,"NEW","",624821,"2011-01-11 12:27:28",94,"drew.ca","other","normal",1,253737,NA,NA,"2011-11-16 21:17:59","Selected URL isn't replaced when typing in awesomebar [Swype]","P2",NA,TRUE,715,"pending",FALSE
"31",665,"NEW","",631644,"2011-02-04 13:01:54",94,"drew.ca","other","normal",0,1,NA,NA,"2011-02-07 09:57:04","Updates don't open app install dialog","--",NA,TRUE,715,"pending",FALSE
"32",666,"NEW","",642517,"2011-03-17 11:07:35",94,"drew.ca","other","normal",0,1,NA,NA,"2011-06-04 12:21:05","Slow script warning should be turned off for chrome","--",NA,TRUE,279,"pending",FALSE
"33",667,"NEW","",684263,"2011-09-02 09:19:56",94,"drew.ca","other","enhancement",0,1,NA,NA,"2011-09-16 13:52:20","about fennec page should show download/updating status","P4",NA,TRUE,715,"pending",FALSE
"34",668,"NEW","",685271,"2011-09-07 12:50:45",94,"drew.ca","other","normal",0,1,NA,NA,"2011-09-19 09:11:44","Absolutely no feedback after clicking ""Add to Firefox"" on an extension page","P5",NA,TRUE,715,"pending",FALSE
"35",669,"NEW","",689694,"2011-09-27 12:40:42",94,"drew.ca","other","normal",0,1,NA,NA,"2011-10-03 11:34:56","Save prefs more frequently","--",NA,TRUE,715,"pending",FALSE
"36",670,"NEW","",689698,"2011-09-27 12:50:49",94,"drew.ca","other","normal",0,1,NA,NA,"2011-10-03 09:52:01","Trying to toggle a preference in about:config with the keyboard open closes the keyboard and doesn't change the pref","--",NA,TRUE,715,"pending",FALSE
"37",671,"NEW","",692678,"2011-10-06 17:57:32",94,"drew.ca","other","normal",0,1,NA,NA,"2011-10-13 11:53:00","Tapping on URL bar on startup with mocked-up interface up does nothing","P2",NA,TRUE,715,"pending",FALSE
"38",672,"NEW","",722768,"2012-01-31 10:04:01",94,"drew.ca","other","normal",0,1,NA,NA,"2012-05-29 01:26:04","Back buttons is sort of indistinct with Windows theme","--",NA,TRUE,279,"pending",FALSE
"39",673,"NEW","",728961,"2012-02-20 14:56:11",94,"drew.ca","other","normal",0,1,NA,NA,"2012-05-11 10:14:48","Track GL state carefully","--",NA,TRUE,1319,"pending",FALSE
"40",674,"NEW","",729289,"2012-02-21 13:46:32",94,"drew.ca","other","normal",0,1,NA,NA,"2012-03-08 10:57:46","MAPLE: Link highlighting doesn't work on Neowin.net","--",NA,TRUE,1319,"pending",FALSE
"41",675,"NEW","",732486,"2012-03-02 10:32:12",94,"drew.ca","other","normal",0,1,NA,NA,"2012-03-14 11:47:20","Sometimes checkerboard leaks out","--",NA,TRUE,1319,"pending",FALSE
"42",676,"NEW","",737441,"2012-03-20 08:35:11",94,"drew.ca","other","normal",0,1,NA,NA,"2012-03-23 07:30:26","FPS display sometimes goes black","--",NA,TRUE,1319,"pending",FALSE
"43",677,"NEW","",761690,"2012-06-05 10:21:43",94,"drew.ca","other","normal",0,420451,NA,NA,"2012-06-29 09:03:21","After force close, Fennec aborts on startup with ""close() was never explicitly called on database""","--",NA,TRUE,1319,"pending",FALSE
"44",678,"NEW","",768128,"2012-06-25 11:30:28",94,"drew.ca","other","normal",1,1,NA,NA,"2012-06-28 12:20:43","Make it possible to create bookmark folders","--",NA,TRUE,1319,"pending",FALSE
"45",679,"NEW","",789110,"2012-09-06 10:33:14",94,"drew.ca","other","normal",0,1,NA,NA,"2012-09-17 14:04:37","Garbage characters displayed instead of real characters","--",NA,TRUE,1426,"pending",FALSE
"46",680,"NEW","",818772,"2012-12-05 19:38:39",94,"drew.ca","other","normal",0,1,NA,NA,"2012-12-05 19:38:39","Freeze/lockup when using Swiftkey","--",NA,TRUE,1417,"pending",FALSE
"47",681,"NEW","",243205,"2004-05-10 11:26:55",24230,"eire.ca","other","minor",2,1,NA,NA,"2006-12-28 12:10:44","'file' inputs on forms should have same context menu as 'text' inputs","--",NA,TRUE,276,"pending",FALSE
"48",682,"NEW","",494224,"2009-05-21 11:06:15",61172,"ilias.ca","other","normal",0,125983,NA,NA,"2011-05-18 08:22:44","Star is not displayed in location bar list items when clicking dropdown arrow","--",NA,TRUE,294,"pending",FALSE
"49",683,"NEW","",640894,"2011-03-11 00:28:05",61172,"ilias.ca","other","normal",2,1,NA,NA,"2011-08-19 13:52:14","Add-ons manager replaces tab if only tab is blank","--",NA,TRUE,386,"pending",FALSE
"50",684,"NEW","",718151,"2012-01-13 20:53:12",422271,"jbuckley.ca","other","normal",0,1,NA,NA,"2012-01-14 03:31:20","Fix JS shell packaging errors","--",NA,TRUE,295,"pending",FALSE
"51",685,"NEW","",499411,"2009-06-19 16:47:17",339592,"lyonsdomain.ca","other","trivial",0,1,NA,NA,"2011-06-30 07:25:13","Body of message generated by File -> Send Link... contains an unexpected Times New Roman 12 space character after the URI.","--",NA,TRUE,279,"pending",FALSE
"52",686,"NEW","",209179,"2003-06-12 08:47:49",100786,"microcell.ca","other","enhancement",10,1,NA,NA,"2012-09-06 17:30:39","visual indication of unread tabs","--",NA,TRUE,386,"pending",FALSE
"53",687,"NEW","",641118,"2011-03-11 15:43:07",11836,"ocrete.ca","other","normal",0,1,NA,NA,"2011-03-13 17:40:29","With menu bar hidden, the temporarily shown menu bar is made invisible when any menu interaction occurs","--",NA,TRUE,276,"pending",FALSE
"54",688,"NEW","",282220,"2005-02-14 05:00:10",92639,"projectile.ca","other","enhancement",15,1,NA,NA,"2011-06-20 23:21:32","Sort domain lists (cookies, exceptions, saved passwords, etc) in reverse DNS order (optionally?)","--",NA,TRUE,278,"pending",FALSE
"55",689,"NEW","",669051,"2011-07-03 02:10:33",419282,"smnc.ca","other","enhancement",1,1,NA,NA,"2011-09-27 16:21:21","""Find in page"" clears search terms whenever it is closed","P4",NA,TRUE,715,"pending",FALSE
"56",13262,"REOPENED","",530704,"2009-11-23 17:34:19",272392,"brocku.ca","university","normal",0,1,NA,NA,"2011-02-03 15:30:59","Firefox doesn't start if ~/firefox directory exists","--",NA,TRUE,279,"pending",FALSE
"57",13263,"REOPENED","",592919,"2010-09-01 18:53:53",94,"drew.ca","other","normal",0,1,NA,NA,"2012-05-20 21:05:21","""Use hardware acceleration when available"" should be disabled if acceleration is unavailable","--",NA,TRUE,278,"pending",FALSE
"58",13264,"REOPENED","",729538,"2012-02-22 07:51:31",94,"drew.ca","other","normal",0,368375,NA,NA,"2012-08-24 04:00:49","MAPLE: use gralloc to reduce upload costs","P1",NA,TRUE,1319,"pending",FALSE
"59",13265,"REOPENED","",670531,"2011-07-10 09:36:05",92820,"lostrealm.ca","other","normal",14,1,NA,NA,"2012-09-04 08:03:41","Copying the URL bar content to the clipboard after modifying it results in missing http:// in the clipboard","--",NA,TRUE,294,"pending",FALSE
"60",13266,"REOPENED","",737009,"2012-03-19 07:09:11",437848,"oipmac.ca","other","normal",0,1,NA,NA,"2012-03-19 20:50:17","Popup ad sites open when accessing http://localhos (not localhost)","--",NA,TRUE,1363,"pending",FALSE
"61",13691,"RESOLVED","DUPLICATE",234107,"2004-02-12 17:57:20",114389,"utoronto.ca","university","critical",0,13548,NA,NA,"2004-02-13 02:44:05","crashes when document.write called inside xml style-sheet","--",NA,FALSE,279,"not_fixed",FALSE
"62",13692,"RESOLVED","DUPLICATE",235339,"2004-02-23 14:13:02",128923,"utoronto.ca","university","normal",0,13548,NA,NA,"2004-03-31 20:00:16","text wraps over table border","--",NA,FALSE,279,"not_fixed",FALSE
"63",13693,"RESOLVED","DUPLICATE",247356,"2004-06-17 10:05:33",142493,"utoronto.ca","university","critical",0,13548,NA,NA,"2004-06-22 16:21:47","This site has a security certificate that does not match the domain name, firefox hangs [stops responding] when this page is accessed","--",NA,FALSE,279,"not_fixed",FALSE
"64",13694,"RESOLVED","DUPLICATE",266146,"2004-10-26 10:42:20",164417,"utoronto.ca","university","critical",0,13548,NA,NA,"2005-04-01 04:58:24","Crashes when loading web page, running on a thin client.   Can be reproduced every time","--",NA,FALSE,279,"not_fixed",FALSE
"65",13695,"RESOLVED","DUPLICATE",307850,"2005-09-10 00:34:34",215886,"utoronto.ca","university","normal",0,1,NA,NA,"2009-02-20 02:32:36","License Agreement refers to ""Accept button"" - Button is actually ""Next"".","--",NA,TRUE,360,"not_fixed",FALSE
"66",13696,"RESOLVED","DUPLICATE",444921,"2008-07-12 10:26:30",6605,"utoronto.ca","university","normal",0,1,NA,NA,"2008-07-12 11:27:47","Some characters improperly rendered in UI menus after FF 3.0 upgrade","--",NA,TRUE,276,"not_fixed",FALSE
"67",13697,"RESOLVED","DUPLICATE",470924,"2008-12-23 06:09:58",334021,"utoronto.ca","university","minor",0,1,NA,NA,"2009-01-07 13:35:58","No secondary click within folders in bookmarks toolbar","--",NA,FALSE,275,"not_fixed",FALSE
"68",13698,"RESOLVED","DUPLICATE",228065,"2003-12-10 09:34:48",121618,"uwaterloo.ca","university","minor",0,13548,NA,NA,"2003-12-10 14:39:36","Any windows opened by a modal window inherit the modal state","--",NA,FALSE,279,"not_fixed",FALSE
"69",13699,"RESOLVED","DUPLICATE",469713,"2008-12-15 11:45:50",220816,"uwaterloo.ca","university","major",0,1,NA,NA,"2008-12-15 11:56:56","RSS feeds are not updating; for each feed, the set of previous news items is repeated multiple times","--",NA,FALSE,277,"not_fixed",FALSE
"70",13700,"RESOLVED","DUPLICATE",702285,"2011-11-14 08:24:12",429617,"uwaterloo.ca","university","normal",0,1,NA,NA,"2012-01-20 12:15:21","Bookmarks lost with remote home directory","--",NA,FALSE,277,"not_fixed",FALSE
"71",13701,"RESOLVED","DUPLICATE",715982,"2012-01-06 11:31:15",417710,"uwaterloo.ca","university","normal",0,1,NA,NA,"2012-01-09 09:54:55","Extra margin/whitespace when changing orientations (landscape to portrait)","--",NA,TRUE,1319,"not_fixed",FALSE
"72",13702,"RESOLVED","DUPLICATE",725151,"2012-02-07 16:31:18",417710,"uwaterloo.ca","university","major",0,1,NA,NA,"2012-02-22 22:58:15","Difficulty finding saved files/downloads","--",NA,TRUE,1319,"not_fixed",FALSE
"73",13703,"RESOLVED","DUPLICATE",308203,"2005-09-12 11:29:41",11740,"ubc.ca","university","major",0,1,NA,NA,"2005-09-12 17:53:53","Inconsistent state after changing the URL of a live bookmark","--",NA,TRUE,277,"not_fixed",FALSE
"74",13704,"RESOLVED","DUPLICATE",312530,"2005-10-14 21:19:28",194162,"ubc.ca","university","normal",0,1,NA,NA,"2005-10-14 21:21:48","the keyboard shortcuts common to many unix and mac applications don't work in firefox","--",NA,FALSE,409,"not_fixed",FALSE
"75",13705,"RESOLVED","DUPLICATE",353769,"2006-09-22 00:31:25",11740,"ubc.ca","university","normal",0,1,NA,NA,"2006-09-22 05:21:40","No shortcut defined for Downloads Manager","--",NA,FALSE,409,"not_fixed",FALSE
"76",13706,"RESOLVED","DUPLICATE",354419,"2006-09-26 20:28:16",11740,"ubc.ca","university","normal",0,1,NA,NA,"2006-09-26 21:37:59","""Bug detected"" message after adding a Live Bookmark","--",NA,FALSE,277,"not_fixed",FALSE
"77",13707,"RESOLVED","DUPLICATE",385353,"2007-06-21 10:47:28",281953,"ubc.ca","university","normal",0,1,NA,NA,"2008-05-07 14:39:54","Unable to install due to firefox.exe being in use","--",NA,FALSE,360,"not_fixed",FALSE
"78",13708,"RESOLVED","DUPLICATE",433750,"2008-05-14 12:49:17",309814,"ubc.ca","university","normal",0,1,NA,NA,"2009-01-16 06:45:41","FTP root and clicking Up to higher level directory","--",NA,FALSE,279,"not_fixed",FALSE
"79",13709,"RESOLVED","DUPLICATE",786229,"2012-08-28 06:02:51",11740,"ubc.ca","university","normal",0,1,NA,NA,"2012-08-28 08:17:47","ocsp2.globalsign.com traffic on pages with no globalsign.com content","--",NA,FALSE,1363,"not_fixed",FALSE
"80",13710,"RESOLVED","DUPLICATE",398518,"2007-10-03 23:51:41",289689,"sfu.ca","university","normal",0,1,NA,NA,"2007-10-04 01:56:37","Printing cut off","--",NA,FALSE,279,"not_fixed",FALSE
"81",13711,"RESOLVED","DUPLICATE",478984,"2009-02-17 18:07:09",338690,"sfu.ca","university","enhancement",0,1,NA,NA,"2009-02-18 10:15:30","implementation of a bittorrent client into the download manager using libtorrent","--",NA,FALSE,573,"not_fixed",FALSE
"82",13712,"RESOLVED","DUPLICATE",271911,"2004-11-26 14:08:28",160479,"mcgill.ca","university","normal",0,13548,NA,NA,"2004-11-26 14:16:03","mousewheel stops working when scrolling through the page given in URL field","--",NA,FALSE,279,"not_fixed",FALSE
"83",13713,"RESOLVED","DUPLICATE",279985,"2005-01-26 19:36:44",182254,"mcgill.ca","university","normal",0,13548,NA,NA,"2005-08-01 21:04:21","Multi-page print problem with overflow:auto","--",NA,FALSE,279,"not_fixed",FALSE
"84",13714,"RESOLVED","DUPLICATE",310897,"2005-10-03 02:57:15",160479,"mcgill.ca","university","normal",0,1,NA,NA,"2005-10-03 03:07:21","Table row re-flow when a link is clicked","--",NA,FALSE,279,"not_fixed",FALSE
"85",13715,"RESOLVED","DUPLICATE",285989,"2005-03-13 11:14:48",120083,"dal.ca","university","minor",1,1,NA,NA,"2006-09-26 19:38:24","""Close Other Tabs"" gives close more than one tab warning even when only one tab is being closed","--",NA,FALSE,386,"not_fixed",FALSE
"86",13716,"RESOLVED","DUPLICATE",338333,"2006-05-17 11:48:25",64665,"uwo.ca","university","critical",0,1,NA,NA,"2006-05-18 10:41:54","Firefox crashes trying to load large image width=""14929"" height=""526""","--",NA,FALSE,279,"not_fixed",FALSE
"87",13717,"RESOLVED","DUPLICATE",452467,"2008-08-27 12:11:34",322965,"uwo.ca","university","normal",0,1,NA,NA,"2008-08-28 09:22:13","improper use of DPI setting","--",NA,FALSE,279,"not_fixed",FALSE
"88",13718,"RESOLVED","DUPLICATE",473003,"2009-01-10 13:54:57",335376,"uwo.ca","university","normal",0,1,NA,NA,"2009-01-11 17:55:57","Relative paths on file:// links are resolved relative to first page loaded","--",NA,FALSE,279,"not_fixed",FALSE
"89",13719,"RESOLVED","DUPLICATE",226747,"2003-11-25 09:50:23",120317,"mun.ca","university","normal",0,13548,NA,NA,"2005-06-24 16:15:21","middle mouse button causes mozilla to visit random website","--",NA,FALSE,279,"not_fixed",FALSE
"90",13720,"RESOLVED","DUPLICATE",258325,"2004-09-07 12:10:03",154232,"mcmaster.ca","university","enhancement",0,5566,NA,NA,"2004-09-07 13:12:35","No inline autocomplete in Firefox","--",61809,FALSE,294,"not_fixed",FALSE
"91",13721,"RESOLVED","DUPLICATE",471032,"2008-12-24 01:29:13",272392,"brocku.ca","university","normal",1,1,NA,NA,"2010-10-21 16:39:35","Search results are too close to edges","--",NA,FALSE,279,"not_fixed",FALSE
"92",13722,"RESOLVED","DUPLICATE",412488,"2008-01-15 12:33:32",298142,"uqac.ca","university","normal",1,1,NA,NA,"2008-08-30 20:55:27","The ""New pages open in new tabs"" option is not working","--",NA,FALSE,386,"not_fixed",FALSE
"93",13723,"RESOLVED","DUPLICATE",457620,"2008-09-28 20:22:11",250232,"senecac.on.ca","college","normal",0,1,NA,NA,"2008-09-28 20:23:38","gmail multiline editor ignores command+right and command+left","--",NA,TRUE,409,"not_fixed",FALSE
"94",13724,"RESOLVED","DUPLICATE",517894,"2009-09-21 07:59:27",299709,"senecac.on.ca","college","normal",0,1,NA,NA,"2009-09-21 16:17:35","Left Click on Flash Acts as Right Click","--",NA,FALSE,279,"not_fixed",FALSE
"95",13725,"RESOLVED","DUPLICATE",555232,"2010-03-26 09:37:33",250232,"senecac.on.ca","college","normal",0,1,NA,NA,"2010-04-01 10:23:51","NetworkPrioritizer.jsm threw a slow script warning dialog","--",NA,TRUE,279,"not_fixed",FALSE
"96",13726,"RESOLVED","DUPLICATE",283192,"2005-02-22 11:23:18",186774,"pwgsc.gc.ca","fed_gov","normal",1,13548,NA,NA,"2005-02-22 11:57:31","does not close file handle after uploading a file to a webpage","--",NA,FALSE,279,"not_fixed",FALSE
"97",13727,"RESOLVED","DUPLICATE",285679,"2005-03-10 17:05:27",19170,"triumf.ca","other","normal",0,13548,NA,NA,"2005-03-31 14:00:12","Popup blocker failed to block popup.","--",NA,FALSE,279,"not_fixed",FALSE
"98",13728,"RESOLVED","DUPLICATE",459427,"2008-10-10 13:45:26",104934,"triumf.ca","other","normal",0,1,NA,NA,"2008-10-10 13:55:08","Page Info is missing Form and Link information","--",NA,FALSE,385,"not_fixed",FALSE
"99",13729,"RESOLVED","DUPLICATE",271413,"2004-11-23 09:31:40",171075,"vcn.bc.ca","other","major",0,24534,NA,NA,"2006-08-27 07:44:27","IE does not show up in Import dialogue box","--",NA,FALSE,277,"not_fixed",FALSE
"100",13730,"RESOLVED","DUPLICATE",411499,"2008-01-09 07:02:53",13826,"rac.ca","other","normal",0,1,NA,NA,"2008-01-09 21:42:45","css style white-space:nowrap doesn't work on textarea element","--",NA,FALSE,279,"not_fixed",FALSE
"101",13731,"RESOLVED","DUPLICATE",274636,"2004-12-14 13:23:36",167418,"ptaff.ca","other","enhancement",0,13548,NA,NA,"2009-10-17 23:29:44","History should store referer info","--",NA,FALSE,277,"not_fixed",FALSE
"102",13732,"RESOLVED","DUPLICATE",267206,"2004-11-01 12:23:50",165649,"dmsolutions.ca","other","normal",0,13548,NA,NA,"2005-01-24 19:35:07","Hidden iframe under textbox causes flashing text cursor to not show in textbox","--",NA,FALSE,279,"not_fixed",FALSE
"103",13733,"RESOLVED","DUPLICATE",481108,"2009-03-02 19:35:54",207367,"alexburke.ca","other","normal",0,1,NA,NA,"2009-08-19 21:39:10","Firefox hangs then crashes [@ GCGraphBuilder::AddNode]","--",NA,FALSE,279,"not_fixed",FALSE
"104",13734,"RESOLVED","DUPLICATE",458609,"2008-10-05 10:48:10",327093,"brmiller.ca","other","normal",0,1,NA,NA,"2008-10-05 13:59:00","Unable to set printable area of pages, size of margins, headers and footers in Firefox under Linux","--",NA,FALSE,275,"not_fixed",FALSE
"105",13735,"RESOLVED","DUPLICATE",460712,"2008-10-19 20:08:26",1572,"interlinx.bc.ca","other","major",0,1,NA,NA,"2008-10-20 01:45:59","when starting with multiple tabs behind a proxy server: many proxy authentication requests","--",NA,FALSE,386,"not_fixed",FALSE
"106",13736,"RESOLVED","DUPLICATE",464013,"2008-11-10 05:33:33",1572,"interlinx.bc.ca","other","major",0,1,NA,NA,"2008-11-10 11:03:33","asked for master password over and over again","--",NA,FALSE,624,"not_fixed",FALSE
"107",13737,"RESOLVED","DUPLICATE",412839,"2008-01-17 12:56:30",298324,"legalaid.mb.ca","other","major",0,1,NA,NA,"2008-01-17 14:20:23","Onchange not fired if onblur modifies text field after user changes it","--",NA,FALSE,279,"not_fixed",FALSE
"108",13738,"RESOLVED","DUPLICATE",470771,"2008-12-22 08:13:42",181704,"morland.ca","other","normal",0,1,NA,NA,"2008-12-22 08:32:52","CSS :first-letter doesn't work with a class set by JavaScript","--",NA,FALSE,279,"not_fixed",FALSE
"109",13739,"RESOLVED","DUPLICATE",562154,"2010-04-27 13:30:12",181704,"morland.ca","other","normal",3,1,NA,NA,"2011-12-29 17:47:41","Middle-click on bookmarks menu items should ""open in new"" on Mac","--",NA,FALSE,277,"not_fixed",FALSE
"110",13740,"RESOLVED","DUPLICATE",626090,"2011-01-15 10:23:27",122472,"page.ca","other","normal",0,1,NA,NA,"2011-01-16 11:27:36","ff4b9 leaving white boxes where GUI elements should be","--",NA,TRUE,279,"not_fixed",FALSE
"111",13741,"RESOLVED","DUPLICATE",642112,"2011-03-16 06:18:38",122472,"page.ca","other","major",0,1,NA,NA,"2011-04-11 12:14:05","Web Console checkmarks do not reliably display their state","--",NA,TRUE,905,"not_fixed",FALSE
"112",13742,"RESOLVED","DUPLICATE",642113,"2011-03-16 06:27:31",122472,"page.ca","other","enhancement",0,1,NA,NA,"2011-03-16 06:59:22","Web Console should remember its configuration","--",NA,TRUE,905,"not_fixed",FALSE
"113",13743,"RESOLVED","DUPLICATE",642526,"2011-03-17 11:31:37",122472,"page.ca","other","normal",0,1,NA,NA,"2012-11-02 06:19:39","Web Console should always show lineNumber and fileName when reporting uncaught exceptions","--",NA,TRUE,1334,"not_fixed",FALSE
"114",13744,"RESOLVED","DUPLICATE",433243,"2008-05-11 09:36:57",309499,"phansoft.ca","other","normal",0,1,NA,NA,"2008-05-11 09:46:16","If download window is open save and quit option is not giveb","--",NA,FALSE,279,"not_fixed",FALSE
"115",13745,"RESOLVED","DUPLICATE",244185,"2004-05-20 10:09:28",138277,"xrx.ca","other","normal",0,13548,NA,NA,"2004-05-20 11:02:09","Tooltips not wrapping on &#13; (Carriage Return) in title.","--",NA,FALSE,279,"not_fixed",FALSE
"116",13746,"RESOLVED","DUPLICATE",321441,"2005-12-24 13:54:50",229673,"alkalisoftware.ca","other","critical",0,1,NA,NA,"2005-12-24 14:19:58","No tabbed bar appears when a web page is opened in a popup window.","--",NA,FALSE,386,"not_fixed",FALSE
